,hike_name,region,length,elevation gain,rating,number_votes,features,which_pass,lat,long,numReports,url
0,Poo Poo Point - Chirico Trail,Issaquah Alps,NR,NR,3.90 out of 5,(31 votes) Log in to rate,[],NR,47.5000,-122.0219,366,http://www.wta.org/go-hiking/hikes/poo-poo-point-chirico-trail
1,Esmeralda Basin (Esmerelda),Snoqualmie Region,NR,NR,4.32 out of 5,(19 votes) Log in to rate,[],NR,47.4361,-120.9372,215,http://www.wta.org/go-hiking/hikes/esmerelda-basin
2,Joe Watt Canyon,Snoqualmie Region,NR,NR,3.00 out of 5,(1 vote) Log in to rate,[],NR,47.0711,-120.7353,0,http://www.wta.org/go-hiking/hikes/joe-watt-canyon
3,Navaho Pass,Snoqualmie Region,NR,NR,3.86 out of 5,(21 votes) Log in to rate,[],NR,47.3664,-120.8027,299,http://www.wta.org/go-hiking/hikes/navaho-pass
4,Northwest Timber Trail,Issaquah Alps,NR,NR,2.43 out of 5,(7 votes) Log in to rate,[],NR,47.4669,-121.9333,40,http://www.wta.org/go-hiking/hikes/northwest-timber-trail
5,Summit Lake,Mount Rainier Area,NR,NR,4.30 out of 5,(40 votes) Log in to rate,[],NR,47.0319,-121.8269,345,http://www.wta.org/go-hiking/hikes/summit-lake
6,Panjab Trail,Eastern Washington,NR,NR,3.50 out of 5,(4 votes) Log in to rate,[],NR,46.1716,-117.7212,15,http://www.wta.org/go-hiking/hikes/panjab-trail
7,Paradise Valley Conservation Area,Puget Sound and Islands,NR,NR,3.22 out of 5,(9 votes) Log in to rate,[],NR,47.7898,-122.0819,69,http://www.wta.org/go-hiking/hikes/paradise-valley-conservation-area
8,Hidden Lake (Lake Wenatchee),Central Cascades,NR,NR,3.29 out of 5,(14 votes) Log in to rate,[],NR,47.8216,-120.8064,36,http://www.wta.org/go-hiking/hikes/hidden-lake
9,Soos Creek Trail,Puget Sound and Islands,NR,NR,4.00 out of 5,(2 votes) Log in to rate,[],NR,47.3896,-122.1515,9,http://www.wta.org/go-hiking/hikes/soos-creek-trail
10,Lookout Mountain Forest Preserve,Puget Sound and Islands,NR,NR,3.00 out of 5,(4 votes) Log in to rate,[],NR,48.7191,-122.3554,13,http://www.wta.org/go-hiking/hikes/lookout-mountain-forest-preserve
11,Sweet Creek Falls Interpretive Trail,Eastern Washington,NR,NR,5.00 out of 5,(1 vote) Log in to rate,[],NR,48.8242,-117.3975,5,http://www.wta.org/go-hiking/hikes/sweet-creek-falls-interpretive-trail
12,Deer Creek Falls to Owyhigh Lakes,Mount Rainier Area,NR,NR,3.80 out of 5,(5 votes) Log in to rate,[],NR,46.8335,-121.5351,17,http://www.wta.org/go-hiking/hikes/deer-creek-falls-to-owyhigh-lakes
13,Deer Creek Falls,Mount Rainier Area,NR,NR,3.00 out of 5,(7 votes) Log in to rate,[],NR,46.8335,-121.5351,5,http://www.wta.org/go-hiking/hikes/deer-creek-falls
14,Paradise Glacier,Mount Rainier Area,NR,NR,3.17 out of 5,(6 votes) Log in to rate,[],NR,46.7860,-121.7351,19,http://www.wta.org/go-hiking/hikes/paradise-glacier
15,Annette Lake,Snoqualmie Region,NR,NR,3.65 out of 5,(104 votes) Log in to rate,[],NR,47.3928,-121.4741,848,http://www.wta.org/go-hiking/hikes/annette-lake
16,Antoine Peak Conservation Area - Canfield Gulch,Eastern Washington,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,47.7295,-117.1415,4,http://www.wta.org/go-hiking/hikes/canfield-gulch-of-antoine-peak
17,Elwha River and Geyser Valley,Olympic Peninsula,NR,NR,2.75 out of 5,(4 votes) Log in to rate,[],NR,47.9676,-123.5824,43,http://www.wta.org/go-hiking/hikes/geyser-valley
18,Lake Aldwell Overlook Trail,Olympic Peninsula,NR,NR,4.00 out of 5,(1 vote) Log in to rate,[],NR,48.0977,-123.5526,8,http://www.wta.org/go-hiking/hikes/lake-aldwell-overlook-trail
19,Lover's Lane Loop,Olympic Peninsula,NR,NR,3.33 out of 5,(6 votes) Log in to rate,[],NR,47.9622,-123.8499,19,http://www.wta.org/go-hiking/hikes/lovers-lane-loop
20,Ancient Groves,Olympic Peninsula,NR,NR,4.67 out of 5,(3 votes) Log in to rate,[],NR,47.9982,-123.9021,2,http://www.wta.org/go-hiking/hikes/ancient-groves
21,Lake Twentytwo - Lake 22,North Cascades,NR,NR,4.22 out of 5,(183 votes) Log in to rate,[],NR,48.0770,-121.7457,1195,http://www.wta.org/go-hiking/hikes/lake-22
22,Bordeaux Ghost Town,Olympic Peninsula,NR,NR,3.50 out of 5,(2 votes) Log in to rate,[],NR,NR,NR,34,http://www.wta.org/go-hiking/hikes/bordeaux-ghost-town
23,Kennedy Falls,Southwest Washington,NR,NR,4.25 out of 5,(4 votes) Log in to rate,[],NR,NR,NR,9,http://www.wta.org/go-hiking/hikes/kennedy-falls
24,Elwha To Hurricane Hill,Olympic Peninsula,NR,NR,3.00 out of 5,(4 votes) Log in to rate,[],NR,48.0138,-123.5878,18,http://www.wta.org/go-hiking/hikes/elwha-to-hurricane-hill
25,Ilwaco - Long Beach Discovery Trail,Southwest Washington,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],NR,46.3074,-124.0453,2,http://www.wta.org/go-hiking/hikes/ilwaco-long-beach-discovery-trail
26,Mount Ellinor,Olympic Peninsula,NR,NR,4.47 out of 5,(75 votes) Log in to rate,[],NR,47.5066,-123.2321,491,http://www.wta.org/go-hiking/hikes/mount-ellinor
27,Griffith-Priday State Park - Copalis River Spit,Southwest Washington,NR,NR,3.80 out of 5,(5 votes) Log in to rate,[],NR,47.1141,-124.1771,23,http://www.wta.org/go-hiking/hikes/copalis-river-spit
28,Teneriffe Falls (Kamikaze Falls),Snoqualmie Region,NR,NR,3.75 out of 5,(20 votes) Log in to rate,[],NR,47.4862,-121.6995,449,http://www.wta.org/go-hiking/hikes/kamikaze-falls
29,Wallace Falls State Park,Central Cascades,NR,NR,4.04 out of 5,(180 votes) Log in to rate,[],NR,47.8669,-121.6780,740,http://www.wta.org/go-hiking/hikes/wallace-falls
30,Margaret's Way,Issaquah Alps,NR,NR,3.62 out of 5,(16 votes) Log in to rate,[],NR,47.5066,-122.0867,130,http://www.wta.org/go-hiking/hikes/margarets-way
31,Mount Walker,Olympic Peninsula,NR,NR,3.00 out of 5,(17 votes) Log in to rate,[],NR,47.7756,-122.9137,178,http://www.wta.org/go-hiking/hikes/mount-walker
32,Mosier Plateau,Southwest Washington,NR,NR,5.00 out of 5,(2 votes) Log in to rate,[],NR,45.6861,-121.4012,7,http://www.wta.org/go-hiking/hikes/mosier-creek-falls
33,Wilderness Peak Loop,Issaquah Alps,NR,NR,2.67 out of 5,(9 votes) Log in to rate,[],NR,47.5093,-122.0904,118,http://www.wta.org/go-hiking/hikes/wilderness-peak
